Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Nauru,12668,12315,11185,10241,10377,9598,7635,6663,21,603.2380952,586.4285714,532.6190476,487.6666667,494.1428571,457.047619,363.5714286,317.2857143
Nepal,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,207.5511105,199.4049979,187.5943566,184.5453353,166.8659678,133.2816736,105.994945,84.93817137
Netherlands,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,419.6897013,416.5963441,407.1949104,397.0637037,379.9076464,357.0979211,337.6436559,311.5337157
New Caledonia,289950,286403,283032,261426,221537,177264,148599,110982,18575,15.60969044,15.41873486,15.23725437,14.07407806,11.9266218,9.543149394,7.999946164,5.974804845
New Zealand,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,19.17161058,18.71257122,16.97282848,16.06975343,14.25410863,12.56119601,11.63605172,10.44142539
Nicaragua,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,53.29624999,51.81974028,48.31213518,44.91523552,39.29664885,32.42864704,25.33737047,18.75209591
Niger,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,20.68506472,19.2057135,15.88644357,13.13933938,9.173374112,6.60666693,4.872278611,3.685641673
Nigeria,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5758632,225.5191834,199.1796479,174.2351467,132.9900841,103.0716121,78.97160218,60.15499996
Niue,1934,1942,1847,1812,2074,2533,3637,5185,260,7.438461538,7.469230769,7.103846154,6.969230769,7.976923077,9.742307692,13.98846154,19.94230769
North Korea,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,216.2754982,214.6001012,209.5440027,204.8020956,193.8563689,172.5557335,149.1118983,124.4161924
North Macedonia,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,81.42180998,82.10134951,81.98039902,81.43071598,79.25702952,79.49963054,74.16571384,64.43367168
Northern Mariana Islands,49551,49587,51514,54087,80338,48002,17613,10143,464,106.7909483,106.8685345,111.0215517,116.5668103,173.1422414,103.4525862,37.95905172,21.85991379
Norway,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,16.78284569,16.61459472,16.02941304,15.10102161,13.87021081,13.09947437,12.61813083,11.96887604
